,sum,related
1/22/20,0,0.0
1/23/20,0,0.0
1/24/20,2,2.985520226899537e-06
1/25/20,3,4.478280340349306e-06
1/26/20,3,4.478280340349306e-06
1/27/20,3,4.478280340349306e-06
1/28/20,4,5.971040453799074e-06
1/29/20,5,7.463800567248843e-06
1/30/20,5,7.463800567248843e-06
1/31/20,5,7.463800567248843e-06
2/1/20,6,8.956560680698611e-06
2/2/20,6,8.956560680698611e-06
2/3/20,6,8.956560680698611e-06
2/4/20,6,8.956560680698611e-06
2/5/20,6,8.956560680698611e-06
2/6/20,6,8.956560680698611e-06
2/7/20,6,8.956560680698611e-06
2/8/20,11,1.6420361247947455e-05
2/9/20,11,1.6420361247947455e-05
2/10/20,11,1.6420361247947455e-05
2/11/20,11,1.6420361247947455e-05
2/12/20,11,1.6420361247947455e-05
2/13/20,11,1.6420361247947455e-05
2/14/20,11,1.6420361247947455e-05
2/15/20,12,1.7913121361397222e-05
2/16/20,12,1.7913121361397222e-05
2/17/20,12,1.7913121361397222e-05
2/18/20,12,1.7913121361397222e-05
2/19/20,12,1.7913121361397222e-05
2/20/20,12,1.7913121361397222e-05
2/21/20,12,1.7913121361397222e-05
2/22/20,12,1.7913121361397222e-05
2/23/20,12,1.7913121361397222e-05
2/24/20,12,1.7913121361397222e-05
2/25/20,14,2.089864158829676e-05
2/26/20,18,2.6869682042095832e-05
2/27/20,38,5.6724884311091206e-05
2/28/20,57,8.508732646663681e-05
2/29/20,100,0.00014927601134497685
3/1/20,130,0.0001940588147484699
3/2/20,191,0.00028511718166890576
3/3/20,204,0.00030452306314375277
3/4/20,285,0.00042543663233318403
