,sum,related
1/22/20,555,7.481801024534915e-06
1/23/20,653,8.802911836074415e-06
1/24/20,941,1.2685359935292532e-05
1/25/20,1434,1.9331356160690213e-05
1/26/20,2118,2.8552170396333244e-05
1/27/20,2927,3.945807495281747e-05
1/28/20,5578,7.519547047721758e-05
1/29/20,6166,8.312213534645458e-05
1/30/20,8234,0.00011100026961445134
1/31/20,9927,0.0001338231329199245
2/1/20,12038,0.00016228093825829067
2/2/20,16787,0.00022630088972768942
2/3/20,19881,0.0002680102453491507
2/4/20,23892,0.00032208142356430304
2/5/20,27636,0.0003725532488541386
2/6/20,30818,0.0004154489080614721
2/7/20,34392,0.00046362901051496364
2/8/20,37121,0.0005004179023995687
2/9/20,40151,0.0005412644917767592
2/10/20,42763,0.0005764761391210569
2/11/20,44803,0.0006039768131571852
2/12/20,45222,0.0006096252359126449
2/13/20,60370,0.0008138312213534646
2/14/20,66887,0.0009016850903208412
2/15/20,69032,0.0009306012402264762
2/16/20,71226,0.0009601779455378808
2/17/20,73260,0.000987597735238609
2/18/20,75138,0.001012914532218927
2/19/20,75641,0.001019695335669992
2/20/20,76199,0.001027217578862227
2/21/20,76843,0.001035899164195201
2/22/20,78599,0.001059571313022378
2/23/20,78985,0.0010647748719331356
2/24/20,79570,0.0010726610946346724
2/25/20,80415,0.0010840523052035589
2/26/20,81397,0.0010972903747640875
2/27/20,82756,0.0011156106767322728
2/28/20,84122,0.0011340253437584255
2/29/20,86013,0.0011595173901321112
3/1/20,88371,0.0011913049339444595
3/2/20,90309,0.0012174305742787815
3/3/20,92844,0.0012516042059854409
3/4/20,95124,0.0012823402534375844
